Ri,Zj,Rhoij
-7.419355,7.936508,0.000210
-7.419355,8.571429,0.000094
-7.419355,9.206349,0.000046
-7.419355,9.841270,0.000025
-7.419355,10.476190,0.000014
-7.419355,11.111111,0.000007
-7.419355,11.746032,0.000003
-7.419355,12.380952,0.000001
-7.419355,13.015873,0.000000
-7.419355,13.650794,0.000000
-7.419355,14.285714,0.000000
-7.419355,14.920635,0.000000
-7.419355,15.555556,0.000000
-7.419355,16.190476,0.000000
-7.419355,16.825397,0.000000
-7.419355,17.460317,0.000000
-7.419355,18.095238,0.000000
-7.419355,18.730159,0.000000
-7.419355,19.365079,0.000000
-7.419355,20.000000,0.000000
-6.774194,-20.000000,0.000000
-6.774194,-19.365079,0.000000
-6.774194,-18.730159,0.000000
-6.774194,-18.095238,0.000000
-6.774194,-17.460317,0.000000
-6.774194,-16.825397,0.000000
-6.774194,-16.190476,0.000000
-6.774194,-15.555556,0.000000
-6.774194,-14.920635,0.000000
-6.774194,-14.285714,0.000000
-6.774194,-13.650794,0.000000
-6.774194,-13.015873,0.000001
-6.774194,-12.380952,0.000003
-6.774194,-11.746032,0.000008
-6.774194,-11.111111,0.000017
-6.774194,-10.476190,0.000030
-6.774194,-9.841270,0.000053
-6.774194,-9.206349,0.000105
-6.774194,-8.571429,0.000241
-6.774194,-7.936508,0.000630
-6.774194,-7.301587,0.001680
-6.774194,-6.666667,0.004107
-6.774194,-6.031746,0.008737
-6.774194,-5.396825,0.016029
-6.774194,-4.761905,0.025699
-6.774194,-4.126984,0.036810
-6.774194,-3.492063,0.048174
-6.774194,-2.857143,0.058691
-6.774194,-2.222222,0.067522
-6.774194,-1.587302,0.074143
-6.774194,-0.952381,0.078292
-6.774194,-0.317460,0.079803
-6.774194,0.317460,0.078594
-6.774194,0.952381,0.074788
-6.774194,1.587302,0.068731
-6.774194,2.222222,0.060833
-6.774194,2.857143,0.051511
-6.774194,3.492063,0.041310
-6.774194,4.126984,0.030978
-6.774194,4.761905,0.021376
-6.774194,5.396825,0.013311
